Timestamp,Date,Measure,Maple,TrueFi,Backed Finance,Securitize,Ondo,Arca Labs,Open Eden,Superstate,Swarm,Matrixdock,Wisdomtree Prime,Franklin Templeton Benji Investments,Hashnote,OpenTrade (Perimeter Protocol),Midas
1684800000000,2023-05-23,Total Asset Value (Dollar),2266970.92,,7325500.00,,113201067.37,367620.00,,,16098.86,71731439.08,1000610.00,290553918.65,,,
1684886400000,2023-05-24,Total Asset Value (Dollar),2267853.59,,7335450.00,,113201067.37,367620.00,,,16091.26,71731439.08,1000634.97,290612597.11,,,
1684972800000,2023-05-25,Total Asset Value (Dollar),4268058.04,,8388400.00,,113252377.80,367620.00,,,16117.58,71731439.08,1000610.02,289887504.93,,,
1685059200000,2023-05-26,Total Asset Value (Dollar),4266369.46,,8357000.00,,113818177.00,367620.00,,,15967.75,71837707.82,1000611.13,290049367.33,,,
1685145600000,2023-05-27,Total Asset Value (Dollar),4260131.76,,8357000.00,,113818177.00,367620.00,,,15967.75,71831913.42,1000611.13,290049367.33,,,
1685232000000,2023-05-28,Total Asset Value (Dollar),4267273.53,,8357000.00,,113818177.00,367620.00,,,15967.75,71831913.42,1000611.13,290049367.33,,,
1685318400000,2023-05-29,Total Asset Value (Dollar),4282523.27,,8357000.00,,113818177.00,367620.00,,,15967.75,71831913.42,1000611.13,290049367.33,,,
1685404800000,2023-05-30,Total Asset Value (Dollar),4276676.88,,11299700.00,,113197221.49,367620.00,,,16074.88,71831913.42,1000636.12,290102831.18,,,
1685491200000,2023-05-31,Total Asset Value (Dollar),4280153.50,,11314350.00,,109905430.09,367620.00,,,16120.99,71831913.42,1000662.08,289161968.35,,,
1685577600000,2023-06-01,Total Asset Value (Dollar),7878654.65,,11326050.00,,109605941.24,367620.00,,,16099.06,71831913.42,1000662.08,295784317.94,,,
1685664000000,2023-06-02,Total Asset Value (Dollar),7875284.66,,11333700.00,,109615905.42,367620.00,,,16106.08,71327345.39,1000662.08,296020798.22,,,
1685750400000,2023-06-03,Total Asset Value (Dollar),7878495.00,,11333700.00,,109615905.42,367620.00,,,16106.08,71327345.39,1000662.08,296020798.22,,,
1685836800000,2023-06-04,Total Asset Value (Dollar),7891018.02,,13138456.00,,109615905.42,367620.00,,,16106.08,71327345.39,1000662.08,296020798.22,,,
1685923200000,2023-06-05,Total Asset Value (Dollar),10924807.49,,13134800.00,,115457822.25,367620.00,,,16092.53,71327345.39,1000662.08,295750199.67,,,
1686009600000,2023-06-06,Total Asset Value (Dollar),10923560.42,,13115868.00,,115810613.74,367620.00,,,16098.57,71327345.39,1000768.64,309697946.90,,,
1686096000000,2023-06-07,Total Asset Value (Dollar),12076603.56,,13177336.00,,119848725.42,367620.00,,,16137.28,71327345.39,1000768.64,309739278.74,,,
1686182400000,2023-06-08,Total Asset Value (Dollar),12070605.53,,13177612.00,,113352245.52,367620.00,,,16169.35,72348174.57,1000768.64,309811988.41,,,
1686268800000,2023-06-09,Total Asset Value (Dollar),12078243.64,,13153776.00,,113851227.01,367620.00,,,16128.99,72099331.42,1000736.64,304732075.00,,,
1686355200000,2023-06-10,Total Asset Value (Dollar),12076563.96,,13153776.00,,113851227.01,367620.00,,,16128.99,72099331.42,1000736.64,304732075.00,,,
1686441600000,2023-06-11,Total Asset Value (Dollar),12081456.85,,13616128.00,,113851227.01,367620.00,,,16128.99,72099331.42,1000736.64,304732075.00,,,
1686528000000,2023-06-12,Total Asset Value (Dollar),12683508.64,,13641504.00,,148617240.43,367620.00,,,16126.85,72099331.42,1000736.64,304770250.48,,,
1686614400000,2023-06-13,Total Asset Value (Dollar),12684469.93,,13636920.00,,152211856.38,367620.00,,,16112.52,72849331.42,1000736.64,304811094.03,25000.00,,
1686700800000,2023-06-14,Total Asset Value (Dollar),12694503.05,,13583096.00,,152225673.72,367620.00,,,16092.82,72849331.42,1000736.64,309769878.38,25000.00,,
1686787200000,2023-06-15,Total Asset Value (Dollar),13203968.80,,13622200.00,,157931909.56,366620.00,,,16112.03,73249454.48,1000602.20,307810873.26,1629469.59,,
1686873600000,2023-06-16,Total Asset Value (Dollar),13699483.69,,13635432.00,,159140552.33,366620.00,,,16143.81,73249454.48,1000567.30,306212541.41,1629469.58,,
1686960000000,2023-06-17,Total Asset Value (Dollar),13694806.16,,13635432.00,,159085422.33,366620.00,,,16143.81,73249454.48,1000567.30,306212541.41,1629469.58,,
1687046400000,2023-06-18,Total Asset Value (Dollar),13696268.96,,13635432.00,,156880222.33,366620.00,,,16143.81,73249454.48,1000567.30,306212541.41,1629469.58,,
1687132800000,2023-06-19,Total Asset Value (Dollar),13857292.30,,13635432.00,,156880222.33,366620.00,,,16143.81,73249454.48,1000567.30,306212541.41,1629469.58,,
1687219200000,2023-06-20,Total Asset Value (Dollar),14399930.70,,13591224.00,,155302892.38,366620.00,,,16099.06,73249454.48,1000515.90,306300713.43,1629469.58,,
1687305600000,2023-06-21,Total Asset Value (Dollar),14398036.84,,13632880.00,,142920158.87,366620.00,,,16131.04,73396790.35,1000540.92,303701010.06,1629469.58,,
1687392000000,2023-06-22,Total Asset Value (Dollar),14100491.97,,13612560.00,,142271515.68,366620.00,,,16115.44,73396790.35,1000467.98,303120918.45,1629469.58,,
1687478400000,2023-06-23,Total Asset Value (Dollar),13357993.94,,13649136.00,,142174093.11,366620.00,,,16143.52,84496778.35,1000050.94,303242431.72,1629469.58,,
1687564800000,2023-06-24,Total Asset Value (Dollar),13356957.43,,13649136.00,,142174093.11,366620.00,,,16143.52,84496778.35,1000050.94,303242431.72,1629469.58,,
1687651200000,2023-06-25,Total Asset Value (Dollar),13347775.31,,15758336.00,,142174093.11,366620.00,,,16143.52,84496778.35,1000050.94,303242431.72,1629469.58,,
